Year,Month,District,Max  temp,Min Temp,Days of frost in the air (days 0 or below),Rainfall,Sunshine,Temperature
2013,6,Scotland,15.8,7.5,0.1,59.9,143.1,11.65
2013,7,Scotland,19.8,10.8,0,81.5,202.6,15.3
2013,8,Scotland,17.3,10.1,0,88,118.1,13.7
2013,9,Scotland,14.6,7.7,0.2,100.7,101.1,11.15
2013,10,Scotland,12,6.7,0.9,190.1,59.4,9.35
2013,11,Scotland,7.3,1.1,11.8,128.4,58.8,4.2
2013,12,Scotland,7.6,2.5,7,295.5,21.7,5.05
2014,1,Wales,7.9,2.7,4.1,257.9,37.1,5.3
2014,2,Wales,7.8,3.1,1.9,241.6,73.8,5.45
2014,3,Wales,10.7,3,4.4,80.5,126.5,6.85
2014,4,Wales,13.2,5.3,0.5,78.9,148.1,9.25
2014,5,Wales,15.1,7.6,0,129.6,142.7,11.35
2014,6,Wales,18.8,9.5,0,57.5,220.2,14.15
2014,7,Wales,20.8,11.5,0,57.1,232.5,16.15
2014,8,Wales,17.6,10.3,0,143.3,163.3,13.95
2014,9,Wales,18.7,9.5,0,16.4,148,14.1
2014,10,Wales,14.5,8.5,0,177.3,75.7,11.5
2014,11,Wales,10.7,4.9,2.4,151.3,64.2,7.8
2014,12,Wales,8.1,2.3,9.3,159.6,51.6,5.2
2014,1,South West,8.9,3.1,3.8,248.5,46.3,6
2014,2,South West,8.7,3.3,1,225.7,85.3,6
2014,3,South West,11.3,3.4,2.8,71.8,128.9,7.35
2014,4,South West,13.6,5.7,0.2,92.7,156.2,9.65
2014,5,South West,15.6,8,0,105.2,174.4,11.8
2014,6,South West,19.6,10.3,0,60.3,236.8,14.95
2014,7,South West,21.7,12.3,0,43.4,246,17
2014,8,South West,18.7,10.7,0,135.2,184.3,14.7
2014,9,South West,19.6,10.4,0,13.1,155.3,15
2014,10,South West,15.3,9.4,0,150.9,82.3,12.35
2014,11,South West,11.4,5.6,2,161,65.7,8.5
2014,12,South West,8.8,2.6,7.9,108,63.4,5.7
2014,1,England NW & N Wales,7.4,2.6,3.1,205.2,33.1,5
2014,2,England NW & N Wales,7.6,2.9,2.3,188,64.1,5.25
2014,3,England NW & N Wales,10.4,3,4.5,90.3,123.4,6.7
2014,4,England NW & N Wales,13.2,5.6,0.7,56.8,137.7,9.4
2014,5,England NW & N Wales,15,7.7,0.1,115.3,133.5,11.35
2014,6,England NW & N Wales,18.5,9.7,0,45.7,188,14.1
2014,7,England NW & N Wales,20.9,11.4,0,69.1,236.8,16.15
2014,8,England NW & N Wales,17.5,10.3,0,139.8,164.2,13.9
2014,9,England NW & N Wales,18.2,9.5,0,16.4,130.4,13.85
2014,10,England NW & N Wales,14.3,8,0.2,171.9,74.2,11.15
2014,11,England NW & N Wales,10.4,4.9,1.3,103.1,57.7,7.65
2014,12,England NW & N Wales,7.5,2,10,167.1,46.3,4.75
2014,1,Midlands,8.1,2.2,4.8,148.8,57.6,5.15
2014,2,Midlands,8.6,2.9,1.8,108.6,83.9,5.75
2014,3,Midlands,11.8,2.9,4.5,47.4,138.9,7.35
2014,4,Midlands,14.1,5.6,0.7,46.2,138.3,9.85
2014,5,Midlands,16.3,7.8,0.6,102.7,162,12.05
2014,6,Midlands,19.9,10.1,0,51.4,194.9,15
2014,7,Midlands,23,12,0,48.6,247.8,17.5
2014,8,Midlands,19.2,10.4,0,102.5,180.7,14.8
2014,9,Midlands,19.4,9.9,0,13.6,127.2,14.65
2014,10,Midlands,15.3,8.5,0,85,83.3,11.9
2014,11,Midlands,10.8,5,2.9,92.8,52.3,7.9
2014,12,Midlands,7.9,1.8,11.6,72.7,75.4,4.85
2014,1,East Anlia,8.8,2.7,5,102.1,64.5,5.75
2014,2,East Anlia,9.7,3.4,0.4,73.5,102.2,6.55
2014,3,East Anlia,13.1,3.2,5.2,21.5,157.7,8.15
2014,4,East Anlia,15.2,6.2,0.8,19.5,155.7,10.7
2014,5,East Anlia,17.4,8.4,0.3,93.6,185.3,12.9
2014,6,East Anlia,20.5,10.3,0,37.6,211.1,15.4
2014,7,East Anlia,23.8,13.4,0,58.4,229,18.6
2014,8,East Anlia,20.9,11.2,0,95.2,200.1,16.05
2014,9,East Anlia,20.2,10.9,0,17.9,132.4,15.55
2014,10,East Anlia,16.9,9.7,0,79.4,113.3,13.3
2014,11,East Anlia,11.7,5.9,2.4,87.9,52.2,8.8
2014,12,East Anlia,8.3,2.3,10.5,50.3,79.6,5.3
2014,1,Englad SE & Centra SOuth,9.4,3,4.5,205.1,64,6.2
2014,2,Englad SE & Centra SOuth,9.8,3.7,0.1,146.9,97.1,6.75
2014,3,Englad SE & Centra SOuth,12.8,3.3,4,38,160.2,8.05
2014,4,Englad SE & Centra SOuth,15,6.1,0.3,75.3,168.2,10.55
2014,5,Englad SE & Centra SOuth,16.8,8.2,0.2,74.1,202,12.5
2014,6,Englad SE & Centra SOuth,20.9,10.6,0,37.5,241.7,15.75
2014,7,Englad SE & Centra SOuth,24,13.1,0,45.8,269.1,18.55
2014,8,Englad SE & Centra SOuth,20.6,11.1,0,102.1,199.2,15.85
2014,9,Englad SE & Centra SOuth,20.8,10.8,0,13.7,144.6,15.8
2014,10,Englad SE & Centra SOuth,16.7,9.8,0,110.9,106.8,13.25
2014,11,Englad SE & Centra SOuth,12,6.1,2.3,135.6,58.3,9.05
2014,12,Englad SE & Centra SOuth,8.8,2.2,11.1,54,75,5.5
2014,1,England E & NE,7.1,1.9,6.3,118.9,50,4.5
2014,2,England E & NE,8.2,2.4,4,82,84.1,5.3
2014,3,England E & NE,10.8,2.7,6.5,44.5,131.9,6.75
2014,4,England E & NE,13.2,5.3,1.5,42.1,129.1,9.25
2014,5,England E & NE,15.6,7.5,0.7,104.3,163.9,11.55
2014,6,England E & NE,18.6,9.9,0,45.8,163.7,14.25
2014,7,England E & NE,21.7,11.6,0,54.4,228.2,16.65
2014,8,England E & NE,18.7,10,0,96.1,186.5,14.35
2014,9,England E & NE,18,9.7,0,18.1,114.6,13.85
2014,10,England E & NE,14.7,8,0.1,83.1,94.6,11.35
2014,11,England E & NE,10.3,4.9,2.2,81.3,47,7.6
2014,12,England E & NE,7.2,1.5,12.1,61.3,77.3,4.35
2014,1,Scotland,5.7,1.2,9.1,214.1,24.7,3.45
2014,2,Scotland,6.2,1.4,8,221.5,55.4,3.8
2014,3,Scotland,8.6,2.3,6.5,129.4,106.8,5.45
2014,4,Scotland,11.5,4.4,2.5,92.9,136.1,7.95
2014,5,Scotland,13.5,6.1,1.1,99.1,117,9.8
2014,6,Scotland,16.7,9.2,0,67.6,121.9,12.95
2014,7,Scotland,19.1,10.1,0,86.2,191.8,14.6
2014,8,Scotland,15.9,8.6,0.1,187.8,143.1,12.25
2014,9,Scotland,16.1,8.9,0,39.3,99.4,12.5
2014,10,Scotland,12.1,6,0.6,246.1,63.9,9.05
2014,11,Scotland,9,3.7,3.2,137.9,41.1,6.35
2014,12,Scotland,6,0.3,14.7,216.6,34.2,3.15
2015,1,Wales,7.1,1.7,10.1,187.7,52.5,4.4
2015,2,Wales,6.5,0.4,12.5,87.8,73.2,3.45
2015,3,Wales,9,2,8.2,97.4,120.6,5.5
2015,4,Wales,13.4,3.4,1.9,35.1,216.8,8.4
2015,5,Wales,13.4,6.3,0,134.9,161.9,9.85
2015,6,Wales,17.4,8.6,0,59.6,220.2,13
2015,7,Wales,18,10.8,0,113.9,166.6,14.4
2015,8,Wales,18.2,10.6,0,128.9,146.6,14.4
2015,9,Wales,16.1,7.4,0,71.7,165.5,11.75
2015,10,Wales,13.8,6.4,0.1,71.5,90.5,10.1
2015,11,Wales,11.9,6.3,2.4,245.9,31.1,9.1
2015,12,Wales,11.5,6.8,0,334.1,22.7,9.15
2015,1,South West,8.2,2.3,7.6,165.3,61.7,5.25
2015,2,South West,7.3,0.9,11.4,90.3,83.9,4.1
2015,3,South West,9.8,2.7,4.5,67.6,131.5,6.25
2015,4,South West,14.1,4.4,0.9,25.9,223.7,9.25
2015,5,South West,14.4,6.9,0,101.2,177.9,10.65
2015,6,South West,18.2,9.2,0,54,235.4,13.7
2015,7,South West,19,11.4,0,102.7,176.8,15.2
2015,8,South West,18.8,11.1,0,145.1,143.3,14.95
2015,9,South West,16.8,8.3,0,74.3,179.5,12.55
2015,10,South West,14.4,7.2,0.1,75.8,98.5,10.8
2015,11,South West,12.5,7.2,2.1,172.2,31.8,9.85
2015,12,South West,12.1,7.9,0,213.9,29.2,10
2015,1,England NW & N Wales,6.5,1.3,10.9,167.6,49.4,3.9
2015,2,England NW & N Wales,6.3,0.6,10.9,77.7,67.4,3.45
2015,3,England NW & N Wales,8.7,1.8,8.1,109.6,106.8,5.25
2015,4,England NW & N Wales,12.7,3,3.2,49.3,210.2,7.85
2015,5,England NW & N Wales,13,6.2,0.6,141.7,154.2,9.6
